Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
2019-01-17,    15538.00,    15588.10,    15423.10,    15537.80,      182748957,         4191.55
2019-01-18,    15541.10,    15559.85,    15475.95,    15505.80,      107654633,         2874.36
2019-01-21,    15524.05,    15586.35,    15446.05,    15552.45,      147521427,         4145.49
2019-01-22,    15548.05,    15567.45,    15494.50,    15557.40,      122494491,         4121.00
2019-01-23,    15568.15,    15622.30,    15421.05,    15459.65,      103713038,         3024.55
2019-01-24,    15468.80,    15529.20,    15368.60,    15466.55,      181602419,         4801.32
2019-01-25,    15470.35,    15586.10,    15338.50,    15384.80,      258165743,         6713.70
2019-01-28,    15335.80,    15381.60,    15024.50,    15072.30,      144986306,         4596.06
2019-01-29,    15057.60,    15132.65,    14955.00,    15053.85,      152415391,         4415.36
2019-01-30,    15216.35,    15304.30,    15163.70,    15242.20,      197837726,         7969.13
2019-01-31,    15341.90,    15517.00,    15278.00,    15495.10,      270668761,         8973.16
2019-02-01,    15503.00,    15592.85,    15265.40,    15382.10,      149017841,         4695.59
2019-02-04,    15300.65,    15469.70,    15228.70,    15441.25,      131779962,         3448.72
2019-02-05,    15463.20,    15541.15,    15425.15,    15491.00,      107243926,         3140.04
2019-02-06,    15520.10,    15566.60,    15499.70,    15541.75,      126935955,         3160.64
2019-02-07,    15551.50,    15648.95,    15505.10,    15552.85,      124743197,         2793.91
2019-02-08,    15510.55,    15594.30,    15458.85,    15493.50,      106715775,         2973.56
2019-02-11,    15468.65,    15498.40,    15396.00,    15449.25,       87984508,         2558.87
2019-02-12,    15402.75,    15474.85,    15315.75,    15331.05,       96624152,         3117.28
2019-02-13,    15357.35,    15386.40,    15236.85,    15257.35,       84185339,         2611.65
2019-02-14,    15339.20,    15417.45,    15254.90,    15386.40,      327310457,         8023.70
2019-02-15,    15416.85,    15429.10,    15201.20,    15299.05,      209766650,         5579.66
2019-02-18,    15246.50,    15312.65,    15212.95,    15233.40,      140472106,         3637.34
2019-02-19,    15235.70,    15431.15,    15199.10,    15239.80,       82982786,         2481.79
2019-02-20,    15300.00,    15392.90,    15268.30,    15376.05,       96869677,         2635.12
2019-02-21,    15391.25,    15463.05,    15385.05,    15430.25,       82503015,         2753.47
2019-02-22,    15350.65,    15371.00,    15292.65,    15310.45,      192137358,        13407.69
2019-02-25,    15353.55,    15502.40,    15347.35,    15481.50,      109042861,         3519.64
2019-02-26,    15290.90,    15483.60,    15229.75,    15378.20,      158282149,         4700.24
2019-02-27,    15454.30,    15521.80,    15229.50,    15284.60,      146424612,         4770.46
2019-02-28,    15343.50,    15357.95,    15267.75,    15291.35,      138461710,         5790.25
2019-03-01,    15382.25,    15454.25,    15370.85,    15437.70,      114720357,         3405.10
2019-03-05,    15452.80,    15766.55,    15384.15,    15756.75,      146285426,         3912.52
2019-03-06,    15795.90,    15832.85,    15725.85,    15806.80,      153344538,         4044.77
2019-03-07,    15816.60,    15875.95,    15754.95,    15842.70,      155522170,         3647.95
2019-03-08,    15801.00,    15874.45,    15775.20,    15845.40,       95664837,         2759.92
2019-03-11,    15871.65,    16001.30,    15840.95,    15960.25,      130559772,         3446.34
2019-03-12,    16070.20,    16292.00,    16051.20,    16257.90,      149040917,         5492.46
2019-03-13,    16271.90,    16506.25,    16187.20,    16463.25,      167573529,         8096.52
2019-03-14,    16534.50,    16585.70,    16455.90,    16507.00,      142930934,         5306.81
2019-03-15,    16555.60,    16873.35,    16543.10,    16769.35,      227063522,         7872.51
2019-03-18,    16860.10,    17030.25,    16784.50,    16915.55,      147371863,         4643.48
