Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
2021-08-23,     6774.85,     6776.90,     6651.30,     6722.10,-0,-0
2021-08-23,-0,-0,-0,     6722.10,-0,-0
2021-08-24,     6776.90,     6843.10,     6774.55,     6835.05,-0,-0
2021-08-24,-0,-0,-0,     6835.05,-0,-0
2021-08-25,     6880.90,     6936.60,     6871.35,     6911.40,-0,-0
2021-08-25,-0,-0,-0,     6911.40,-0,-0
2021-08-26,     6949.00,     6986.30,     6928.20,     6968.40,-0,-0
2021-08-26,-0,-0,-0,     6968.40,-0,-0
2021-08-27,     7011.05,     7030.60,     6938.90,     6992.45,-0,-0
2021-08-27,-0,-0,-0,     6992.45,-0,-0
2021-08-30,     7036.05,     7125.50,     7014.85,     7114.75,-0,-0
2021-08-30,-0,-0,-0,     7114.75,-0,-0
2021-08-31,     7132.60,     7186.95,     7085.25,     7174.70,-0,-0
2021-09-01,     7244.45,     7256.50,     7191.55,     7205.40,-0,-0
2021-09-01,-0,-0,-0,     7205.40,-0,-0
2021-09-02,     7169.30,     7243.65,     7168.15,     7225.15,-0,-0
2021-09-02,-0,-0,-0,     7225.15,-0,-0
2021-09-03,     7266.10,     7412.35,     7245.55,     7404.40,-0,-0
2021-09-03,-0,-0,-0,     7404.40,-0,-0
2021-09-06,     7449.10,     7490.90,     7373.35,     7388.40,-0,-0
2021-09-06,-0,-0,-0,     7388.40,-0,-0
2021-09-07,     7388.75,     7406.45,     7321.00,     7338.60,-0,-0
2021-09-07,-0,-0,-0,     7338.60,-0,-0
2021-09-08,     7316.90,     7386.10,     7296.75,     7376.00,-0,-0
2021-09-08,-0,-0,-0,     7376.00,-0,-0
2021-09-09,     7364.25,     7432.25,     7339.80,     7391.65,-0,-0
2021-09-09,-0,-0,-0,     7391.65,-0,-0
2021-09-13,     7389.70,     7403.45,     7313.20,     7367.05,-0,-0
2021-09-13,-0,-0,-0,     7367.05,-0,-0
